Category,Score,Percentage
OVERALL SCORE,2/25,8.0%
General Knowledge & Current Affairs,1/5,20.0%
Indian Polity & Governance,0/5,0.0%
Indian Economy,0/5,0.0%
Geography & Environment,1/5,20.0%
Science & Technology,0/5,0.0%
